Transaction Hash,BlockNo,DateTime (UTC),Action,Price,Market,Buyer Address,Buyer Name,Type,Item,Quantity
"0xdec762429c945f73162a1bdb2b5ec0afba04aa6330a08551635ff18571957df7","22380899","2025-04-30 09:14:11","Bought","1.469999ETH ($2,636.93)","OpenSea","0x1b00F99739924645Aea87B52471E4d3C21C23697","","ERC-721","LilPudgys","1"
"0x579ba46a965b386b9088f3d3869c79b9ae088e59908518999cd368500426d07b","22380294","2025-04-30 07:12:23","Bought","1.45WETH ($2,601.05)","Seaport","0x400F2Bd92098C386Cea677D6E7f832eB25c6e3cf","","ERC-721","LilPudgys","1"
"0x800a69792d5c9612d3ae8c77c23ca9808e341f1e00bc5b239204d95a603577c9","22379480","2025-04-30 04:28:11","Bought","1.7WETH ($3,049.51)","Seaport","0xc36df6e0C38af084eE58a5E6815f3CFBcd8FAcd9","","ERC-721","LilPudgys","1"
"0x845ef649a96465d830d57435ed09a5b272381d5a251fb07e9f207a93b802ff8b","22379395","2025-04-30 04:10:59","Bought","1.8888ETH ($3,388.19)","Seaport","0xA86d1FB05faE5ca0B7a2FbF6fa53A419aAD4f1f1","","ERC-721","LilPudgys","1"
"0xa9d427600c0b6f3a551c7c1f941cb7212dee06e11a880bf8940f3cc1005c86eb","22378864","2025-04-30 02:23:47","Bought","1.49ETH ($2,672.81)","Seaport","0x893ab434A8a3615507C2e5687075e28559e3e709","","ERC-721","LilPudgys","1"
"0x2b78ae8906147f7c523f584f5977d9b7387c8ff9a612134ed9d1f55a3b7bac4c","22377538","2025-04-29 21:57:11","Bought","1.48WETH ($2,661.74)","Seaport","0xD17a89B10321AEffF3D387a85c59B35890c23558","","ERC-721","LilPudgys","1"
"0x1a1a2675e0b7d1f6deb9e41cd67b06c982d7440f324703374c48cd7e3e75616b","22377361","2025-04-29 21:21:23","Bought","1.48WETH ($2,661.74)","Seaport","0x504f998AaA20904Da32C42c6e4473D4e83A4BDcA","","ERC-721","LilPudgys","1"
"0x66ee646b6e22117c598a4cdf3720198d0219240fa0b78deb543bded992d1f749","22377251","2025-04-29 20:59:11","Bought","1.87WETH ($3,363.14)","Seaport","0xd448a685712AD225F58af0c364293F913faaF6e3","","ERC-721","LilPudgys","1"
"0x4ea19d8428135fad901a81a285660ed7d469270b9099a787fa0a1259a2bc9cb5","22376986","2025-04-29 20:05:47","Bought","1.52ETH ($2,733.67)","Seaport","0xb2e1fECBece6Bb28315be7A223D52C05Dc43f7f6","","ERC-721","LilPudgys","1"
"0x05bfa3f18d0481c47d0968473ef4df590c4e04ff6bf5e20c929b5163cd27e9c9","22376489","2025-04-29 18:25:35","Bought","1.48WETH ($2,661.74)","Seaport","0x504f998AaA20904Da32C42c6e4473D4e83A4BDcA","","ERC-721","LilPudgys","1"
"0x39d4aeccbb70d9a87548f42e9bf8d749f4275cd5652034a9c3aa42f5de035354","22376452","2025-04-29 18:17:59","Bought","1.55ETH ($2,787.63)","Seaport","0xA86d1FB05faE5ca0B7a2FbF6fa53A419aAD4f1f1","","ERC-721","LilPudgys","1"
